itemCollection_Vehicles_InnerSphere_B,,,
vehicledef_BANDIT_HOVERCRAFT_E,Mech,1,1
vehicledef_SWIFT_WIND_SCOUT_CAR_ICE__SPEED,Mech,1,1
vehicledef_BADGER_TRACKED_TRANSPORT_E,Mech,1,1
vehicledef_EPONA_PURSUIT_TANK_A,Mech,1,1
vehicledef_CONDOR_HEAVY_HOVER_TANK_FISSION,Mech,1,1
vehicledef_SCORPION,Mech,1,1
vehicledef_GLADIUS_MEDIUM_HOVERTANK,Mech,1,1
vehicledef_SALADIN_ASSAULT_HOVER_TANK,Mech,1,1
vehicledef_SHAMASH_RECONNAISSANCE_VEHICLE,Mech,1,1
vehicledef_DRILLSON_HEAVY_HOVER_TANK_ERLL,Mech,1,1
vehicledef_CONDOR_HEAVY_HOVER_TANK_FUSION,Mech,1,1
vehicledef_SLEIPNIR_APC_TANK,Mech,1,1
vehicledef_BANDIT_HOVERCRAFT_B,Mech,1,1
vehicledef_COMMAND_VAN_QVEHICLE,Mech,1,1
vehicledef_TARGETVEHICLE1,Mech,1,1
vehicledef_ODIN_SCOUT_TANK,Mech,1,1
vehicledef_SAVANNAH_MASTER_HOVERCRAFT_SL,Mech,1,1
vehicledef_J_EDGAR_LIGHT_HOVER_TANK_ICE,Mech,1,1
vehicledef_J_EDGAR_LIGHT_HOVER_TANK_CELL,Mech,1,1
vehicledef_SCIMITAR_MEDIUM_HOVER_TANK_MISSILE,Mech,1,1
vehicledef_APC_Sleipnir,Mech,1,1
vehicledef_BADGER_TRACKED_TRANSPORT_C,Mech,1,1
vehicledef_BANDIT_HOVERCRAFT_PRIME,Mech,1,1
vehicledef_SAVANNAH_MASTER_HOVERCRAFT,Mech,1,1
vehicledef_HETZER_WHEELED_ASSAULT_GUN_LRM,Mech,1,1
vehicledef_VEDETTE_MEDIUM_TANK,Mech,1,1
vehicledef_SWIFTWIND_ARMORED,Mech,1,1
vehicledef_ARES_MEDIUM_TANK,Mech,1,1
vehicledef_SARACEN_MEDIUM_HOVER_TANK,Mech,1,1
vehicledef_HETZER_WHEELED_ASSAULT_GUN_SCOUT,Mech,1,1
vehicledef_HETZER_WHEELED_ASSAULT_GUN_SRM,Mech,1,1
vehicledef_VEDETTE_MEDIUM_TANK_LIAO,Mech,1,1
vehicledef_APC_Vargr,Mech,1,1
vehicledef_ZORYA_LIGHT_TANK_AMMO,Mech,1,1
vehicledef_BANDIT_HOVERCRAFT_G,Mech,1,1
vehicledef_VEDETTE_MEDIUM_TANK_AC2,Mech,1,1
vehicledef_BADGER_TRACKED_TRANSPORT_A,Mech,1,1
vehicledef_COMMAND_VAN_ICE,Mech,1,1
vehicledef_HUNTER_LIGHT_SUPPORT_TANK,Mech,1,1
vehicledef_HUNTER_LIGHT_SUPPORT_TANK_LRM10,Mech,1,1
vehicledef_MITHRAS_LIGHT_TANK,Mech,1,1
vehicledef_FALCON_HOVER_TANK,Mech,1,1
vehicledef_BANDIT_HOVERCRAFT_C,Mech,1,1
vehicledef_BANDIT_HOVERCRAFT_D,Mech,1,1
vehicledef_DRILLSON_HEAVY_HOVER_TANK,Mech,1,1
vehicledef_INDRA_INFANTRY_TRANSPORT,Mech,1,1
